tag,zona,tabela,registros
C4_rep6,silver,relt_intel,100000
C4_rep6,silver,paf,100000
C4_rep6,silver,obstaculo,100000
C4_rep6,silver,seg_area,100000
C4_rep6,silver,pessoal,100000
C4_rep6,silver,material,100000
C4_rep7,bronze,dados,800000
C4_rep7,silver,gps,100000
C4_rep7,silver,sensor,105
C4_rep7,silver,relt_intel,100000
C4_rep7,silver,paf,100000
C4_rep7,silver,obstaculo,100000
C4_rep7,silver,seg_area,100000
C4_rep7,silver,pessoal,100000
C4_rep7,silver,material,100000
C4_rep8,bronze,dados,800000
C4_rep8,silver,gps,100000
C4_rep8,silver,sensor,105
C4_rep8,silver,relt_intel,100000
C4_rep8,silver,paf,100000
C4_rep8,silver,obstaculo,100000
C4_rep8,silver,seg_area,100000
C4_rep8,silver,pessoal,100000
C4_rep8,silver,material,100000
C4_rep9,bronze,dados,800000
C4_rep9,silver,gps,100000
C4_rep9,silver,sensor,105
C4_rep9,silver,relt_intel,100000
C4_rep9,silver,paf,100000
C4_rep9,silver,obstaculo,100000
C4_rep9,silver,seg_area,100000
C4_rep9,silver,pessoal,100000
C4_rep9,silver,material,100000
C4_rep10,bronze,dados,800000
C4_rep10,silver,gps,100000
C4_rep10,silver,sensor,105
C4_rep10,silver,relt_intel,100000
C4_rep10,silver,paf,100000
C4_rep10,silver,obstaculo,100000
C4_rep10,silver,seg_area,100000
C4_rep10,silver,pessoal,100000
C4_rep10,silver,material,100000
C4_rep11,bronze,dados,800000
C4_rep11,silver,gps,100000
C4_rep11,silver,sensor,105
C4_rep11,silver,relt_intel,100000
C4_rep11,silver,paf,100000
C4_rep11,silver,obstaculo,100000
C4_rep11,silver,seg_area,100000
C4_rep11,silver,pessoal,100000
C4_rep11,silver,material,100000
C4_rep12,bronze,dados,800000
C4_rep12,silver,gps,100000
C4_rep12,silver,sensor,105
C4_rep12,silver,relt_intel,100000
C4_rep12,silver,paf,100000
C4_rep12,silver,obstaculo,100000
C4_rep12,silver,seg_area,100000
C4_rep12,silver,pessoal,100000
C4_rep12,silver,material,100000
